vilref,new_km_N,new_km_E,lr_pop
25-337-1610,106.06316958495792,608.633679392694,1059
25-337-12138,98.8103692996191,617.5623349826698,531
25-337-608,120.93812319032094,616.0417160868042,1117
25-337-27377,115.29468358993682,634.4633001077974,236
25-337-37525,113.00709009390219,621.9665039895235,473
25-337-10412,105.59225907070231,637.8845913638467,1229
25-337-40783,117.89998072121868,602.5690201468561,25
25-337-34079,134.34682232121372,616.7994496488263,470
25-337-52815,115.43159379993044,619.8103567640621,16
25-337-7135,108.7084968898441,611.8623763862637,356
25-337-12916,115.13078226807038,621.0149449110692,654
25-337-14038,121.47133937521978,607.1790260167692,669
25-337-34268,124.81074541221018,616.9315623237067,726
25-337-18223,120.30512698456755,614.7426310037724,740
25-337-2496,110.44525044910195,633.4202596210554,646
25-337-3312,123.5206618732666,598.5840652580429,528
25-337-5852,121.2078073990724,604.1452720484419,1989
25-337-8958,105.7749523351714,614.5330628687514,507
25-337-3987,126.90910487289082,623.9131798780609,502
25-337-13337,126.13952478561225,607.974569911227,1291
25-337-21862,128.85935269133896,606.5368388441527,1579
25-337-50151,118.4112877473894,617.3600653626582,206
25-337-24796,110.97698458833447,607.5505908888799,1265
25-337-17794,116.78469560701919,640.905394357373,798
25-337-21734,106.24119266255626,650.3891760223739,493
25-337-30538,109.2656946673023,650.9659315207384,835
25-337-49177,118.77869298486718,622.505736057703,311
25-337-35199,124.51496690732075,612.3170911772102,939
25-337-49144,112.91844800758177,643.4369585325287,471
25-337-25004,110.49773445451635,637.9826776042597,456
25-337-8187,138.78750291172528,611.630442286462,1205
25-337-5372,115.77682479187644,630.135009208514,1547
25-337-9636,118.77842064173204,612.6288114264551,11
25-337-23934,122.08869360792174,600.7029663017021,682
25-337-23633,106.21450588016258,618.9417419417848,273
25-337-32469,101.3597353828527,621.2264956260481,838
25-337-2367,105.21352915047501,629.598459429866,422
25-337-33171,111.15768629328048,619.7983541808743,574
25-337-17792,110.10523535078677,618.2764548065686,351
25-337-22303,113.00629199959955,638.6751519374652,871
25-337-32607,113.00851589813395,620.2274571769807,210
25-337-36657,117.20131724909544,620.7708619047612,785
25-337-37712,120.47391824454142,618.3996996870276,2164
25-337-1883,106.33871061319435,643.872382431574,926
25-337-28934,124.15247144648279,608.4874889504397,124
25-337-26449,112.61032444732118,617.4039166951683,439
25-337-35063,120.98020106513688,618.0397125898635,519
25-337-6193,126.19823570685968,620.4422031645965,255
25-337-25027,117.54082110816529,615.4429176316364,530
25-337-6095,103.53470814800964,628.071352189469,469
25-337-29014,111.76869246603884,623.2901885129667,874
25-337-50150,110.80593477085233,616.3551404436707,354
25-337-14409,116.7155884390369,618.9677027062041,939
25-337-1673,102.3667166385255,621.0803961239151,232
25-337-32630,129.04949601590818,620.322439332975,575
25-337-29079,121.57274914831378,640.4866312801795,1413
25-337-49176,116.31317193339717,618.0852391834,433
25-337-30676,123.86781243424049,636.8118578277939,1483
25-334-14468,120.82985584340344,527.7112444222302,267
25-334-2444,143.0319244566653,529.1001807136456,693
25-334-44950,126.00386697510979,505.265307165821,916
